종목코드,종목명,시장구분,업종명,시가총액
105560,KB금융,KOSPI,기타금융,19146600366400
105630,한세실업,KOSPI,섬유의복,627200000000
105740,디케이락,KOSDAQ,기계·장비,98450568720
105840,우진,KOSPI,의료정밀,183928706700
106080,하이소닉,KOSDAQ,IT부품,142465087040
106190,하이텍팜,KOSDAQ,제약,89743980120
106240,파인테크닉스,KOSDAQ,일반전기전자,35030725400
106520,노블엠앤비,KOSDAQ,의료·정밀기기,15082036272
107590,미원홀딩스,KOSPI,기타금융,230840000000
107600,새빗켐,KOSDAQ,화학,437052895500
108230,톱텍,KOSDAQ,기계·장비,342589437450
108320,LX세미콘,KOSPI,전기전자,1888285230000
108380,대양전기공업,KOSDAQ,운송장비·부품,109928656170
108490,로보티즈,KOSDAQ,소프트웨어,399501220650
108670,LX하우시스,KOSPI,화학,396819397500
108675,LX하우시스우,KOSPI,화학,20749833000
108860,셀바스AI,KOSDAQ,소프트웨어,445928250600
109070,컨버즈,KOSPI,전기전자,150921943000
109080,옵티시스,KOSDAQ,통신장비,74000680000
109610,에스와이,KOSDAQ,금속,192206082000
109740,디에스케이,KOSDAQ,기계·장비,145934514000
109820,진매트릭스,KOSDAQ,기타서비스,87794620200
109860,동일금속,KOSDAQ,금속,285285000000
109960,에이프로젠 H&G,KOSDAQ,유통,87471524484
110020,전진바이오팜,KOSDAQ,화학,37513954280
110790,크리스에프앤씨,KOSDAQ,섬유·의류,223179894000
110990,디아이티,KOSDAQ,IT부품,155358000000
111110,호전실업,KOSPI,섬유의복,76439874560
111710,남화산업,KOSDAQ,오락·문화,164704000000
111770,영원무역,KOSPI,유통업,2038327528000
111870,KH 전자,KOSDAQ,일반전기전자,31672044756
112040,위메이드,KOSDAQ,디지털컨텐츠,1564799340600
112290,와이씨켐,KOSDAQ,반도체,118293376500
112610,씨에스윈드,KOSPI,기계,3462272186300
113810,디젠스,KOSDAQ,운송장비·부품,57327485607
114090,GKL,KOSPI,서비스업,1190721647500
114120,크루셜텍,KOSDAQ,IT부품,24913021350
114190,강원에너지,KOSDAQ,금속,650463646200
114450,KPX생명과학,KOSDAQ,제약,61350000000
114630,폴라리스우노,KOSDAQ,화학,53715894246
114810,한솔아이원스,KOSDAQ,IT부품,258299131200
114840,아이패밀리에스씨,KOSDAQ,화학,218464688800
115160,휴맥스,KOSDAQ,통신장비,169504828020
115180,큐리언트,KOSDAQ,기타서비스,130422264320
115310,인포바인,KOSDAQ,통신서비스,85569264400
115390,락앤락,KOSPI,화학,294174601840
115440,우리넷,KOSDAQ,통신장비,90873319550
115450,HLB테라퓨틱스,KOSDAQ,유통,415269926390
115480,씨유메디칼,KOSDAQ,의료·정밀기기,56374508302
115500,케이씨에스,KOSDAQ,컴퓨터서비스,97920000000
